transcript_id,chunk_id,tier,type,quality,n_runs,n_elicited,disagreement
2026-06-15_alex_bad,alex_m_t3_sequencing_and_equity,3,signal,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t3_threshold_gap,3,signal,bad,15,0,0.0
2026-06-15_alex_good,alex_m_t1_climate_baseline,1,fact,good,15,15,0.0
2026-06-15_alex_good,alex_m_t1_engagement_importance,1,fact,good,15,0,0.0
2026-06-15_alex_good,alex_m_t1_formal_strategies,1,fact,good,15,15,0.0
2026-06-15_alex_good,alex_m_t1_institutional_process,1,fact,good,15,15,0.0
2026-06-15_alex_good,alex_m_t1_study_landscape,1,fact,good,15,0,0.0
2026-06-15_alex_good,alex_m_t2_buying_time,2,fact,good,15,15,0.0
2026-06-15_alex_good,alex_m_t2_capacity,2,fact,good,15,15,0.0
2026-06-15_alex_good,alex_m_t2_political_cycle,2,fact,good,15,0,0.0
2026-06-15_alex_good,alex_m_t2_uneven_exposure,2,fact,good,15,15,0.0
2026-06-15_alex_good,alex_m_t3_displacement_moral_stress,3,signal,good,15,15,0.0
2026-06-15_alex_good,alex_m_t3_false_security,3,signal,good,15,15,0.0
2026-06-15_mike_good,mike_a_t3_quiet_displacement,3,signal,good,15,15,0.0
2026-06-06_alex_bad,alex_m_t1_climate_baseline,1,fact,bad,15,0,0.0
2026-06-15_mike_good,mike_a_t3_trust_erosion,3,signal,good,15,15,0.0
2026-06-15_sarah_bad,sarah_d_t1_operational_complexity,1,fact,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t1_financing_dynamics,1,fact,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t1_flood_compliance,1,fact,bad,15,15,0.0
2026-06-15_tom_bad,tom_c_t1_market_behavior,1,fact,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t2_incentive_misalignment,2,fact,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t2_path_dependency,2,fact,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t2_policy_ambiguity,2,fact,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t3_capital_as_priority,3,signal,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t3_compliance_vs_sustainability,3,signal,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t3_today_shapes_tomorrow,3,signal,bad,15,0,0.0
2026-06-15_tom_bad,tom_c_t3_unresolved_limits,3,signal,bad,15,0,0.0
2026-06-15_tom_good,tom_c_t1_engineering_responses,1,fact,good,15,15,0.0
2026-06-15_tom_good,tom_c_t1_financing_dynamics,1,fact,good,15,15,0.0
2026-06-15_tom_good,tom_c_t1_flood_compliance,1,fact,good,15,15,0.0
2026-06-15_tom_good,tom_c_t1_market_behavior,1,fact,good,15,0,0.0
2026-06-15_tom_good,tom_c_t2_incentive_misalignment,2,fact,good,15,15,0.0
2026-06-15_tom_good,tom_c_t2_path_dependency,2,fact,good,15,15,0.0
2026-06-15_tom_good,tom_c_t2_policy_ambiguity,2,fact,good,15,15,0.0
2026-06-15_tom_good,tom_c_t2_regulation_lag,2,fact,good,15,15,0.0
2026-06-15_tom_good,tom_c_t3_capital_as_priority,3,signal,good,15,15,0.0
2026-06-15_tom_good,tom_c_t3_compliance_vs_sustainability,3,signal,good,15,15,0.0
2026-06-15_tom_good,tom_c_t3_today_shapes_tomorrow,3,signal,good,15,15,0.0
2026-06-15_tom_bad,tom_c_t1_engineering_responses,1,fact,bad,15,0,0.0
2026-06-15_sarah_good,sarah_d_t3_viability_threshold,3,signal,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t3_uneven_adaptive_capacity,3,signal,good,15,15,0.0
2026-06-15_sarah_bad,sarah_d_t3_uneven_adaptive_capacity,3,signal,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t1_perception_fragility,1,fact,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t1_predictability_over_protection,1,fact,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t1_revenue_sensitivity,1,fact,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t2_cleanup_vs_prevention,2,fact,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t2_employee_vulnerability,2,fact,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t2_private_cost_absorption,2,fact,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t2_timeline_misalignment,2,fact,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t3_exit_consideration,3,signal,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t3_resilience_as_burden,3,signal,bad,15,0,0.0
2026-06-15_sarah_bad,sarah_d_t3_viability_threshold,3,signal,bad,15,0,0.0
2026-06-15_sarah_good,sarah_d_t3_resilience_as_burden,3,signal,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t1_operational_complexity,1,fact,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t1_perception_fragility,1,fact,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t1_predictability_over_protection,1,fact,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t1_revenue_sensitivity,1,fact,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t2_cleanup_vs_prevention,2,fact,good,15,0,0.0
2026-06-15_sarah_good,sarah_d_t2_employee_vulnerability,2,fact,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t2_private_cost_absorption,2,fact,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t2_timeline_misalignment,2,fact,good,15,15,0.0
2026-06-15_sarah_good,sarah_d_t3_exit_consideration,3,signal,good,15,15,0.0
2026-06-15_alex_bad,alex_m_t1_study_landscape,1,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t1_climate_baseline,1,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t1_formal_strategies,1,fact,bad,15,0,0.0
2026-06-15_alex_bad,alex_m_t1_engagement_importance,1,fact,bad,15,0,0.0
2026-06-06_alex_good,alex_m_t3_sequencing_and_equity,3,signal,good,15,15,0.0
2026-06-06_alex_good,alex_m_t3_threshold_gap,3,signal,good,15,15,0.0
2026-06-06_mike_bad,mike_a_t1_flooding_pattern_change,1,fact,bad,15,15,0.0
2026-06-06_mike_bad,mike_a_t1_places_that_flood_first,1,fact,bad,15,15,0.0
2026-06-06_mike_bad,mike_a_t1_routine_adjustments,1,fact,bad,15,15,0.0
2026-06-06_mike_bad,mike_a_t2_informal_mutual_aid,2,fact,bad,15,0,0.0
2026-06-06_mike_bad,mike_a_t2_informal_prioritization,2,fact,bad,15,0,0.0
2026-06-06_mike_bad,mike_a_t2_planning_disconnect,2,fact,bad,15,0,0.0
2026-06-06_mike_bad,mike_a_t2_uneven_prioritization,2,fact,bad,15,0,0.0
2026-06-06_mike_bad,mike_a_t3_loss_of_belonging,3,signal,bad,15,0,0.0
2026-06-06_mike_bad,mike_a_t3_quiet_displacement,3,signal,bad,15,0,0.0
2026-06-06_mike_bad,mike_a_t3_resilience_as_burden,3,signal,bad,15,0,0.0
2026-06-06_mike_bad,mike_a_t3_trust_erosion,3,signal,bad,15,0,0.0
2026-06-06_mike_good,mike_a_t1_flooding_pattern_change,1,fact,good,15,15,0.0
2026-06-06_mike_good,mike_a_t1_places_that_flood_first,1,fact,good,15,15,0.0
2026-06-06_mike_good,mike_a_t1_routine_adjustments,1,fact,good,15,15,0.0
2026-06-06_mike_good,mike_a_t2_informal_mutual_aid,2,fact,good,15,15,0.0
2026-06-06_mike_good,mike_a_t2_informal_prioritization,2,fact,good,15,15,0.0
2026-06-06_mike_good,mike_a_t2_uneven_prioritization,2,fact,good,15,0,0.0
2026-06-06_mike_good,mike_a_t3_loss_of_belonging,3,signal,good,15,15,0.0
2026-06-06_mike_good,mike_a_t3_quiet_displacement,3,signal,good,15,15,0.0
2026-06-06_alex_good,alex_m_t3_long_term_protectability,3,signal,good,15,15,0.0
2026-06-06_alex_good,alex_m_t3_false_security,3,signal,good,15,15,0.0
2026-06-06_alex_good,alex_m_t3_displacement_moral_stress,3,signal,good,15,0,0.0
2026-06-06_alex_bad,alex_m_t3_false_security,3,signal,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t1_formal_strategies,1,fact,bad,15,15,0.0
2026-06-06_alex_bad,alex_m_t1_institutional_process,1,fact,bad,15,15,0.0
2026-06-06_alex_bad,alex_m_t1_study_landscape,1,fact,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t2_buying_time,2,fact,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t2_capacity,2,fact,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t2_political_cycle,2,fact,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t2_temporal_mismatch,2,fact,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t2_uneven_exposure,2,fact,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t3_displacement_moral_stress,3,signal,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t3_long_term_protectability,3,signal,bad,15,0,0.0
2026-06-06_alex_good,alex_m_t2_uneven_exposure,2,fact,good,15,15,0.0
2026-06-06_alex_bad,alex_m_t3_sequencing_and_equity,3,signal,bad,15,0,0.0
2026-06-06_alex_bad,alex_m_t3_threshold_gap,3,signal,bad,15,0,0.0
2026-06-06_alex_good,alex_m_t1_climate_baseline,1,fact,good,15,0,0.0
2026-06-06_alex_good,alex_m_t1_engagement_importance,1,fact,good,15,15,0.0
2026-06-06_alex_good,alex_m_t1_institutional_process,1,fact,good,15,15,0.0
2026-06-06_alex_good,alex_m_t1_study_landscape,1,fact,good,15,15,0.0
2026-06-06_alex_good,alex_m_t2_buying_time,2,fact,good,15,15,0.0
2026-06-06_alex_good,alex_m_t2_capacity,2,fact,good,15,0,0.0
2026-06-06_alex_good,alex_m_t2_political_cycle,2,fact,good,15,0,0.0
2026-06-06_sarah_bad,sarah_d_t1_operational_complexity,1,fact,bad,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t1_perception_fragility,1,fact,bad,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t1_predictability_over_protection,1,fact,bad,15,15,0.0
2026-06-06_tom_good,tom_c_t1_flood_compliance,1,fact,good,15,15,0.0
2026-06-06_tom_bad,tom_c_t2_path_dependency,2,fact,bad,15,0,0.0
2026-06-06_tom_bad,tom_c_t2_policy_ambiguity,2,fact,bad,15,0,0.0
2026-06-06_tom_bad,tom_c_t2_regulation_lag,2,fact,bad,15,0,0.0
2026-06-06_tom_bad,tom_c_t3_capital_as_priority,3,signal,bad,15,0,0.0
2026-06-06_tom_bad,tom_c_t3_compliance_vs_sustainability,3,signal,bad,15,0,0.0
2026-06-06_tom_bad,tom_c_t3_today_shapes_tomorrow,3,signal,bad,15,0,0.0
2026-06-06_tom_bad,tom_c_t3_unresolved_limits,3,signal,bad,15,0,0.0
2026-06-06_tom_good,tom_c_t1_engineering_responses,1,fact,good,15,15,0.0
2026-06-06_tom_good,tom_c_t1_financing_dynamics,1,fact,good,15,15,0.0
2026-06-06_tom_good,tom_c_t1_market_behavior,1,fact,good,15,15,0.0
2026-06-06_tom_bad,tom_c_t1_market_behavior,1,fact,bad,15,0,0.0
2026-06-06_tom_good,tom_c_t2_incentive_misalignment,2,fact,good,15,15,0.0
2026-06-06_tom_good,tom_c_t2_path_dependency,2,fact,good,15,15,0.0
2026-06-06_tom_good,tom_c_t2_policy_ambiguity,2,fact,good,15,15,0.0
2026-06-06_tom_good,tom_c_t2_regulation_lag,2,fact,good,15,15,0.0
2026-06-06_tom_good,tom_c_t3_capital_as_priority,3,signal,good,15,15,0.0
2026-06-06_tom_good,tom_c_t3_compliance_vs_sustainability,3,signal,good,15,15,0.0
2026-06-06_tom_good,tom_c_t3_today_shapes_tomorrow,3,signal,good,15,15,0.0
2026-06-06_tom_good,tom_c_t3_unresolved_limits,3,signal,good,15,15,0.0
2026-06-06_alex_bad,alex_m_t1_engagement_importance,1,fact,bad,15,15,0.0
2026-06-06_tom_bad,tom_c_t2_incentive_misalignment,2,fact,bad,15,0,0.0
2026-06-06_tom_bad,tom_c_t1_flood_compliance,1,fact,bad,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t1_revenue_sensitivity,1,fact,bad,15,15,0.0
2026-06-06_sarah_good,sarah_d_t1_perception_fragility,1,fact,good,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t2_cleanup_vs_prevention,2,fact,bad,15,0,0.0
2026-06-06_sarah_bad,sarah_d_t2_employee_vulnerability,2,fact,bad,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t2_private_cost_absorption,2,fact,bad,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t2_timeline_misalignment,2,fact,bad,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t3_exit_consideration,3,signal,bad,15,15,0.0
2026-06-06_sarah_bad,sarah_d_t3_resilience_as_burden,3,signal,bad,15,0,0.0
2026-06-06_sarah_bad,sarah_d_t3_uneven_adaptive_capacity,3,signal,bad,15,0,0.0
2026-06-06_sarah_bad,sarah_d_t3_viability_threshold,3,signal,bad,15,15,0.0
2026-06-06_sarah_good,sarah_d_t1_operational_complexity,1,fact,good,15,15,0.0
2026-06-06_sarah_good,sarah_d_t1_predictability_over_protection,1,fact,good,15,15,0.0
2026-06-06_tom_bad,tom_c_t1_financing_dynamics,1,fact,bad,15,15,0.0
2026-06-06_sarah_good,sarah_d_t1_revenue_sensitivity,1,fact,good,15,15,0.0
2026-06-06_sarah_good,sarah_d_t2_cleanup_vs_prevention,2,fact,good,15,0,0.0
2026-06-06_sarah_good,sarah_d_t2_employee_vulnerability,2,fact,good,15,15,0.0
2026-06-06_sarah_good,sarah_d_t2_private_cost_absorption,2,fact,good,15,0,0.0
2026-06-06_sarah_good,sarah_d_t2_timeline_misalignment,2,fact,good,15,0,0.0
2026-06-06_sarah_good,sarah_d_t3_resilience_as_burden,3,signal,good,15,0,0.0
2026-06-06_sarah_good,sarah_d_t3_uneven_adaptive_capacity,3,signal,good,15,15,0.0
2026-06-06_sarah_good,sarah_d_t3_viability_threshold,3,signal,good,15,15,0.0
2026-06-06_tom_bad,tom_c_t1_engineering_responses,1,fact,bad,15,15,0.0
2026-06-15_tom_good,tom_c_t3_unresolved_limits,3,signal,good,15,15,0.0
